CompId,供应商,注册资金,成立日期,所属地区,参保人数,企业类型,投资主体,上市与否
377,扬州通顺热交换器科技有限公司,100,4,321000,1,2,3,3
378,宁波万晟汽车零部件有限公司,1000,8,330200,38,2,3,3
379,宁波益胜精密模具有限公司,800,5,330200,5,2,3,3
380,台州市永宁轴承制造有限公司,1000,12,331000,122,2,3,3
381,宁波固顺和五金模具有限公司,100,7,330200,9,2,3,3
382,八环轴承（长兴）有限公司,10000,7,330500,274,2,3,3
383,江阴海达橡塑股份有限公司,60123,24,320200,1695,1,3,1
384,南京天鹏模塑厂（普通合伙）,26,20,320100,34,3,3,3
385,山东星泰轴承股份有限公司,2000,16,370800,56,1,3,2
386,苏州格瑞林达医疗科技有限公司,2000,5,320500,23,2,3,3
387,宁波宝捷模具有限公司,1000,10,330200,122,2,3,3
389,青县胜利弹簧制造有限公司,500,17,130900,0,2,3,3
390,天津可隆汽车配件有限公司,10000,4,120000,130,2,2,3
391,湖北鲲腾新能源科技有限公司,2000,5,420900,0,2,3,3
392,上海坤孚企业（集团）有限公司,7200,19,310000,15,2,3,3
393,西安鹭江电子器材制造有限公司,200,26,610100,18,2,3,3
394,南京柯瑞特种陶瓷股份有限公司,4400,16,320100,78,1,3,2
395,宁波菲力克汽配有限公司,4719,18,330200,323,2,2,3
396,宁波市北仑模具压铸有限公司,500,25,330200,4,2,3,3
397,山东厚丰汽车散热器有限公司,1810,21,370900,190,2,3,3
398,宁波市北仑区大碶敏嵘模具厂（普通合伙）,5,15,330200,53,3,3,3
399,宜兴市恒远陶瓷科技有限公司,1000,8,320200,8,2,3,3
400,上海智能制造系统创新中心有限公司,3000,6,310000,5,2,3,3
401,十堰铁马汽车零部件有限公司,580,16,420300,12,2,3,3
402,曲阜鼎高模塑制造有限公司,100,5,370800,0,2,3,3
403,巩诚电装（重庆）有限公司昆山分公司,100,10,320500,338,3,3,3
404,宁波精成电机有限公司,2000,14,330200,312,2,3,3
405,宜兴市恒鸿陶瓷科技有限公司,50,10,320200,0,2,3,3
406,湖南天雁机械有限责任公司,49188,19,430400,1040,2,3,3
407,安徽天瑞电子科技有限公司,518,15,340200,74,2,3,3
